SKU_ID,Nombre_Producto,Categoria,Costo_Base_USD
SKU-00001,Gadget Pro X1,Oficina,1040.91
SKU-00002,Gadget Pro X2,Electr0nica,381.08
SKU-00003,Gadget Pro X3,Hogar,1044.33
SKU-00004,Gadget Pro X4,Ofic_Ina,1079.42
SKU-00005,Gadget Pro X5,Hogar,449.4
SKU-00006,Gadget Pro X6,Gaminng,461.33
SKU-00007,Gadget Pro X7,G@ming,437.08
SKU-00008,Gadget Pro X8,Hogar,504.4
SKU-00009,Gadget Pro X9,Oficina,776.19
SKU-00010,Gadget Pro X10,Electrónica,682.21
SKU-00011,Gadget Pro X11,Gaming,52.88
SKU-00012,Gadget Pro X12,Ofic_Ina,902.05
SKU-00013,Gadget Pro X13,Oficina,935.08
SKU-00014,Gadget Pro X14,Hogar,1047.47
SKU-00015,Gadget Pro X15,Electr0nica,537.23
SKU-00016,Gadget Pro X16,Gaminng,1065.72
SKU-00017,Gadget Pro X17,Electrónica,86.26
SKU-00018,Gadget Pro X18,Hogar,901.78
SKU-00019,Gadget Pro X19,Gaming,1108.4
SKU-00020,Gadget Pro X20,G@ming,995.42
SKU-00021,Gadget Pro X21,H0gar,514.6
SKU-00022,Gadget Pro X22,Oficina,595.09
SKU-00023,Gadget Pro X23,Gaminng,754.06
SKU-00024,Gadget Pro X24,G@ming,1000.85
SKU-00025,Gadget Pro X25,Oficina,161.29
SKU-00026,Gadget Pro X26,Electrónica,277.04
SKU-00027,Gadget Pro X27,Gaminng,135.9
SKU-00028,Gadget Pro X28,Electr0nica,343.03
SKU-00029,Gadget Pro X29,Hogar,413.49
SKU-00030,Gadget Pro X30,Hogar,973.91
SKU-00031,Gadget Pro X31,Electrónica,1178.0
SKU-00032,Gadget Pro X32,G@ming,90.05
SKU-00033,Gadget Pro X33,Electr0nica,92.09
SKU-00034,Gadget Pro X34,Gaming,746.79
SKU-00035,Gadget Pro X35,Gaminng,345.14
SKU-00036,Gadget Pro X36,Hogar,664.5
SKU-00037,Gadget Pro X37,G@ming,56.66
SKU-00038,Gadget Pro X38,Hogar,305.99
SKU-00039,Gadget Pro X39,G@ming,629.52
SKU-00040,Gadget Pro X40,Electrónica,210.51
SKU-00041,Gadget Pro X41,Ofic_Ina,686.02
SKU-00042,Gadget Pro X42,H0gar,1008.78
SKU-00043,Gadget Pro X43,Ofic_Ina,577.65
SKU-00044,Gadget Pro X44,Electr0nica,101.6
SKU-00045,Gadget Pro X45,Electrónica,375.42
SKU-00046,Gadget Pro X46,Oficina,104.16
SKU-00047,Gadget Pro X47,Ofic_Ina,636.97
SKU-00048,Gadget Pro X48,Hogar,959.16
SKU-00049,Gadget Pro X49,Hogar,450.73
SKU-00050,Gadget Pro X50,Electrónica,427.42
SKU-00051,Gadget Pro X51,Electr0nica,945.46
SKU-00052,Gadget Pro X52,Gaminng,1072.02
SKU-00053,Gadget Pro X53,Oficina,396.98
SKU-00054,Gadget Pro X54,Gaminng,637.13
SKU-00055,Gadget Pro X55,Hogar,737.39
SKU-00056,Gadget Pro X56,Gaminng,763.08
SKU-00057,Gadget Pro X57,G@ming,984.56
SKU-00058,Gadget Pro X58,Oficina,783.44
SKU-00059,Gadget Pro X59,Electr0nica,187.1
SKU-00060,Gadget Pro X60,H0gar,138.05
SKU-00061,Gadget Pro X61,Ofic_Ina,310.7
SKU-00062,Gadget Pro X62,Gaming,683.17
SKU-00063,Gadget Pro X63,Ofic_Ina,538.76
SKU-00064,Gadget Pro X64,H0gar,1088.36
SKU-00065,Gadget Pro X65,Ofic_Ina,469.34
SKU-00066,Gadget Pro X66,Electr0nica,501.12
SKU-00067,Gadget Pro X67,Ofic_Ina,1143.66
SKU-00068,Gadget Pro X68,Ofic_Ina,1163.62
SKU-00069,Gadget Pro X69,H0gar,172.09
SKU-00070,Gadget Pro X70,H0gar,55.58
SKU-00071,Gadget Pro X71,Hogar,254.48
SKU-00072,Gadget Pro X72,Oficina,1080.81
SKU-00073,Gadget Pro X73,Ofic_Ina,1026.57
SKU-00074,Gadget Pro X74,Oficina,473.37
SKU-00075,Gadget Pro X75,Gaming,191.65
SKU-00076,Gadget Pro X76,Ofic_Ina,617.77
SKU-00077,Gadget Pro X77,Ofic_Ina,926.55
SKU-00078,Gadget Pro X78,H0gar,464.45
SKU-00079,Gadget Pro X79,Hogar,159.23
SKU-00080,Gadget Pro X80,Oficina,1059.82
SKU-00081,Gadget Pro X81,Electr0nica,433.03
SKU-00082,Gadget Pro X82,Electrónica,996.12
SKU-00083,Gadget Pro X83,Gaming,508.27
SKU-00084,Gadget Pro X84,Oficina,174.44
SKU-00085,Gadget Pro X85,Hogar,825.12
SKU-00086,Gadget Pro X86,H0gar,842.35
SKU-00087,Gadget Pro X87,Electr0nica,1000.08
SKU-00088,Gadget Pro X88,Oficina,976.85
SKU-00089,Gadget Pro X89,Ofic_Ina,1051.44
SKU-00090,Gadget Pro X90,Electrónica,113.12
SKU-00091,Gadget Pro X91,Hogar,373.9
SKU-00092,Gadget Pro X92,G@ming,879.16
SKU-00093,Gadget Pro X93,G@ming,177.69
SKU-00094,Gadget Pro X94,H0gar,817.68
SKU-00095,Gadget Pro X95,Hogar,979.97
SKU-00096,Gadget Pro X96,Electrónica,1009.48
SKU-00097,Gadget Pro X97,Hogar,370.93
SKU-00098,Gadget Pro X98,H0gar,1051.64
SKU-00099,Gadget Pro X99,Electrónica,749.76
SKU-00100,Gadget Pro X100,Electr0nica,765.18
SKU-00101,Gadget Pro X101,Hogar,369.86
SKU-00102,Gadget Pro X102,Hogar,688.73
SKU-00103,Gadget Pro X103,Ofic_Ina,371.44
SKU-00104,Gadget Pro X104,Ofic_Ina,1152.62
SKU-00105,Gadget Pro X105,Gaminng,636.85
SKU-00106,Gadget Pro X106,Gaminng,1086.6
SKU-00107,Gadget Pro X107,Gaming,1152.23
SKU-00108,Gadget Pro X108,Gaminng,712.8
SKU-00109,Gadget Pro X109,Gaminng,1026.53
SKU-00110,Gadget Pro X110,Electr0nica,295.11
SKU-00111,Gadget Pro X111,Gaming,645.26
SKU-00112,Gadget Pro X112,Electrónica,854.65
SKU-00113,Gadget Pro X113,Oficina,650.17
SKU-00114,Gadget Pro X114,H0gar,1086.34
SKU-00115,Gadget Pro X115,Oficina,384.46
SKU-00116,Gadget Pro X116,Gaminng,703.9
SKU-00117,Gadget Pro X117,Hogar,149.5
SKU-00118,Gadget Pro X118,Ofic_Ina,1122.11
SKU-00119,Gadget Pro X119,Gaminng,329.57
SKU-00120,Gadget Pro X120,Electr0nica,362.04
SKU-00121,Gadget Pro X121,Electr0nica,627.34
SKU-00122,Gadget Pro X122,Hogar,341.82
SKU-00123,Gadget Pro X123,G@ming,170.83
SKU-00124,Gadget Pro X124,Gaminng,773.49
SKU-00125,Gadget Pro X125,G@ming,654.5
SKU-00126,Gadget Pro X126,H0gar,771.58
SKU-00127,Gadget Pro X127,H0gar,854.56
SKU-00128,Gadget Pro X128,Gaming,115.98
SKU-00129,Gadget Pro X129,Hogar,118.07
SKU-00130,Gadget Pro X130,Ofic_Ina,1019.53
SKU-00131,Gadget Pro X131,Electrónica,634.63
SKU-00132,Gadget Pro X132,Hogar,431.9
SKU-00133,Gadget Pro X133,Gaming,722.43
SKU-00134,Gadget Pro X134,Electrónica,197.7
SKU-00135,Gadget Pro X135,Oficina,774.48
SKU-00136,Gadget Pro X136,Gaming,1046.53
SKU-00137,Gadget Pro X137,G@ming,1101.44
SKU-00138,Gadget Pro X138,Gaminng,179.88
SKU-00139,Gadget Pro X139,Ofic_Ina,96.64
SKU-00140,Gadget Pro X140,G@ming,872.28
SKU-00141,Gadget Pro X141,Gaminng,793.3
SKU-00142,Gadget Pro X142,H0gar,320.66
SKU-00143,Gadget Pro X143,Hogar,368.11
SKU-00144,Gadget Pro X144,G@ming,177.56
SKU-00145,Gadget Pro X145,Electr0nica,82.61
SKU-00146,Gadget Pro X146,Electr0nica,192.69
SKU-00147,Gadget Pro X147,Oficina,518.3
SKU-00148,Gadget Pro X148,Hogar,128.23
SKU-00149,Gadget Pro X149,Oficina,420.93
SKU-00150,Gadget Pro X150,Hogar,878.78
