Tienda_ID,Nombre_Tienda,Pais
STORE-001,GlobalTech UK - 1,UK
STORE-002,GlobalTech USA - 2,USA
STORE-003,GlobalTech Colombia - 3,Colombia
STORE-004,GlobalTech Colombia - 4,Colombia
STORE-005,GlobalTech México - 5,México
STORE-006,GlobalTech UK - 6,UK
STORE-007,GlobalTech España - 7,España
STORE-008,GlobalTech UK - 8,UK
STORE-009,GlobalTech USA - 9,USA
STORE-010,GlobalTech México - 10,México
STORE-011,GlobalTech USA - 11,USA
STORE-012,GlobalTech México - 12,México
STORE-013,GlobalTech USA - 13,USA
STORE-014,GlobalTech USA - 14,USA
STORE-015,GlobalTech España - 15,España
STORE-016,GlobalTech Colombia - 16,Colombia
STORE-017,GlobalTech USA - 17,USA
STORE-018,GlobalTech UK - 18,UK
STORE-019,GlobalTech USA - 19,USA
STORE-020,GlobalTech México - 20,México
