Venta_ID,Fecha_ISO,Tienda_ID,SKU_ID,Moneda_Transaccion,Monto_Total_Local,Impuesto_Local,Tasa_Referencia_Dia,Monto_USD,Monto_Neto_USD,Metodo_Pago,Es_Online,Canal_Origen,Costo_Envio_USD,Flag_Fraude,Año,Mes,Trimestre,Nombre_Producto,Categoria,Costo_Base_USD,Nombre_Tienda,Pais
TXN-600000,2025-08-11 15:00:20.491637,STORE-001,SKU-00077,GBP,1024.76,146.39,0.79,809.5604000000001,693.9123000000001,Crypto,False,App,34.67,False,2025,8,3,Gadget Pro X77,Oficina,926.55,GlobalTech UK - 1,UK
TXN-600001,2026-01-29 15:00:20.511040,STORE-017,SKU-00008,USD,706.16,35.31,1.0,706.16,670.8499999999999,Crypto,False,App,45.37,False,2026,1,1,Gadget Pro X8,Hogar,504.4,GlobalTech USA - 17,USA
TXN-600002,2025-10-30 15:00:20.526154,STORE-009,SKU-00082,USD,1394.57,69.73,1.0,1394.57,1324.84,Crypto,True,Web,25.97,False,2025,10,4,Gadget Pro X82,Electrónica,996.12,GlobalTech USA - 9,USA
TXN-600003,2025-06-06 15:00:20.545533,STORE-013,SKU-00112,USD,1196.51,59.83,1.0,1196.51,1136.68,Crypto,False,App,24.61,False,2025,6,2,Gadget Pro X112,Electrónica,854.65,GlobalTech USA - 13,USA
TXN-600004,2025-05-01 15:00:20.566309,STORE-005,SKU-00090,MXN,2771.44,316.74,17.5,48500.200000000004,42957.25,Crypto,True,App,44.01,False,2025,5,2,Gadget Pro X90,Electrónica,113.12,GlobalTech México - 5,México
TXN-600005,2025-10-01 15:00:20.584707,STORE-008,SKU-00105,GBP,704.36,100.62,0.79,556.4444000000001,476.9546,Credit Card,False,Web,43.46,False,2025,10,4,Gadget Pro X105,Gaming,636.85,GlobalTech UK - 8,UK
TXN-600006,2025-08-12 15:00:20.603921,STORE-004,SKU-00067,COP,6564608.4,890911.14,4100.0,26914894440.0,23262158766.000004,Crypto,True,Web,18.83,True,2025,8,3,Gadget Pro X67,Oficina,1143.66,GlobalTech Colombia - 4,Colombia
TXN-600007,2026-02-23 15:00:20.620791,STORE-020,SKU-00004,MXN,26445.79,3022.38,17.5,462801.325,409909.675,Desconocido,False,Social,33.79,False,2026,2,1,Gadget Pro X4,Oficina,1079.42,GlobalTech México - 20,México
TXN-600008,2025-04-26 15:00:20.637714,STORE-005,SKU-00082,MXN,24404.94,2789.14,17.5,427086.44999999995,378276.5,Crypto,True,Web,31.89,False,2025,4,2,Gadget Pro X82,Electrónica,996.12,GlobalTech México - 5,México
TXN-600009,2025-05-28 15:00:20.658315,STORE-010,SKU-00059,MXN,4583.95,523.88,17.5,80219.125,71051.22499999999,Credit Card,True,Store,49.64,False,2025,5,2,Gadget Pro X59,Electrónica,187.1,GlobalTech México - 10,México
TXN-600010,2026-01-28 15:00:20.676429,STORE-018,SKU-00051,GBP,1045.68,149.38,0.79,826.0872,708.0770000000001,Desconocido,True,App,16.49,False,2026,1,1,Gadget Pro X51,Electrónica,945.46,GlobalTech UK - 18,UK
TXN-600011,2025-04-27 15:00:20.694407,STORE-019,SKU-00079,USD,222.92,11.15,1.0,222.92,211.76999999999998,Desconocido,True,Social,31.64,False,2025,4,2,Gadget Pro X79,Hogar,159.23,GlobalTech USA - 19,USA
TXN-600012,2025-10-06 15:00:20.712647,STORE-007,SKU-00149,EUR,542.16,81.32,0.92,498.7872,423.9728,Desconocido,False,Web,40.75,False,2025,10,4,Gadget Pro X149,Oficina,420.93,GlobalTech España - 7,España
TXN-600013,2025-12-06 15:00:20.730031,STORE-017,SKU-00004,USD,1511.19,75.56,1.0,1511.19,1435.63,Cash,True,Store,15.6,False,2025,12,4,Gadget Pro X4,Oficina,1079.42,GlobalTech USA - 17,USA
TXN-600014,2025-09-01 15:00:20.748345,STORE-007,SKU-00067,EUR,1473.03,220.96,0.92,1355.1876,1151.9044,Unknown,True,Web,11.23,False,2025,9,3,Gadget Pro X67,Oficina,1143.66,GlobalTech España - 7,España
