route_key,route_original,city_origin,city_destination_main,is_multi_destination,destination_count,created_at
1,BOGOTA D.C. - MANIZALES,BOGOTA D.C.,MANIZALES,0,1,2026-04-22 20:01:39
2,BOGOTA D.C. - MEDELLIN,BOGOTA D.C.,MEDELLIN,0,1,2026-04-22 20:01:39
3,BOGOTA D.C. - CUCUTA,BOGOTA D.C.,CUCUTA,0,1,2026-04-22 20:01:39
4,BOGOTA D.C. - CALI,BOGOTA D.C.,CALI,0,1,2026-04-22 20:01:39
5,BOGOTA D.C. - TENA,BOGOTA D.C.,TENA,0,1,2026-04-22 20:01:39
6,BOGOTA D.C. - CARTAGENA,BOGOTA D.C.,CARTAGENA,0,1,2026-04-22 20:01:39
7,BOGOTA D.C. - SANTA BARBARA,BOGOTA D.C.,SANTA BARBARA,0,1,2026-04-22 20:01:39
8,BOGOTA D.C. - IBAGUE,BOGOTA D.C.,IBAGUE,0,1,2026-04-22 20:01:39
9,BOGOTA D.C. - BOJACA,BOGOTA D.C.,BOJACA,0,1,2026-04-22 20:01:39
10,BOGOTA D.C. - ARMENIA,BOGOTA D.C.,ARMENIA,0,1,2026-04-22 20:01:39
11,IBAGUE - ANZOATEGUI,IBAGUE,ANZOATEGUI,0,1,2026-04-22 20:01:39
12,MOCOA - PUERTO CAICEDO,MOCOA,PUERTO CAICEDO,0,1,2026-04-22 20:01:39
13,BOGOTA D.C. - SANTA MARTA,BOGOTA D.C.,SANTA MARTA,0,1,2026-04-22 20:01:39
14,BOGOTA D.C. - FONSECA,BOGOTA D.C.,FONSECA,0,1,2026-04-22 20:01:39
15,RIOHACHA - DIBULLA GUAJIRA,RIOHACHA,DIBULLA GUAJIRA,0,1,2026-04-22 20:01:39
16,BOGOTA D.C. - SUTAMARCHAN,BOGOTA D.C.,SUTAMARCHAN,0,1,2026-04-22 20:01:39
17,BOGOTA D.C. - YOPAL,BOGOTA D.C.,YOPAL,0,1,2026-04-22 20:01:39
18,SANTA MARTA - BOGOTA D.C.,SANTA MARTA,BOGOTA D.C.,0,1,2026-04-22 20:01:39
19,BOGOTA D.C. - S.JUAN NEPOMUCENO,BOGOTA D.C.,S.JUAN NEPOMUCENO,0,1,2026-04-22 20:01:39
20,PASTO - BARBACOAS,PASTO,BARBACOAS,0,1,2026-04-22 20:01:39
21,BOGOTA D.C. - RICAURTE,BOGOTA D.C.,RICAURTE,0,1,2026-04-22 20:01:39
22,BOGOTA D.C. - VALLEDUPAR,BOGOTA D.C.,VALLEDUPAR,0,1,2026-04-22 20:01:39
23,NEIVA - ACEVEDO,NEIVA,ACEVEDO,0,1,2026-04-22 20:01:39
24,CALI - SEVILLA,CALI,SEVILLA,0,1,2026-04-22 20:01:39
25,BOGOTA D.C. - ACANDI,BOGOTA D.C.,ACANDI,0,1,2026-04-22 20:01:39
