date_key,full_date,day_num,month_num,month_name,quarter_num,year_num,week_num,is_weekend,created_at
20220109,2022-01-09,9,1,January,1,2022,1,1,2026-04-22 20:01:39
20220110,2022-01-10,10,1,January,1,2022,2,0,2026-04-22 20:01:39
20220111,2022-01-11,11,1,January,1,2022,2,0,2026-04-22 20:01:39
20220112,2022-01-12,12,1,January,1,2022,2,0,2026-04-22 20:01:39
20220113,2022-01-13,13,1,January,1,2022,2,0,2026-04-22 20:01:39
20220114,2022-01-14,14,1,January,1,2022,2,0,2026-04-22 20:01:39
20220115,2022-01-15,15,1,January,1,2022,2,1,2026-04-22 20:01:39
20220116,2022-01-16,16,1,January,1,2022,2,1,2026-04-22 20:01:39
20220117,2022-01-17,17,1,January,1,2022,3,0,2026-04-22 20:01:39
20220118,2022-01-18,18,1,January,1,2022,3,0,2026-04-22 20:01:39
20220119,2022-01-19,19,1,January,1,2022,3,0,2026-04-22 20:01:39
20220120,2022-01-20,20,1,January,1,2022,3,0,2026-04-22 20:01:39
20220121,2022-01-21,21,1,January,1,2022,3,0,2026-04-22 20:01:39
20220122,2022-01-22,22,1,January,1,2022,3,1,2026-04-22 20:01:39
20220123,2022-01-23,23,1,January,1,2022,3,1,2026-04-22 20:01:39
20220124,2022-01-24,24,1,January,1,2022,4,0,2026-04-22 20:01:39
20220125,2022-01-25,25,1,January,1,2022,4,0,2026-04-22 20:01:39
20220126,2022-01-26,26,1,January,1,2022,4,0,2026-04-22 20:01:39
20220127,2022-01-27,27,1,January,1,2022,4,0,2026-04-22 20:01:39
20220128,2022-01-28,28,1,January,1,2022,4,0,2026-04-22 20:01:39
20220129,2022-01-29,29,1,January,1,2022,4,1,2026-04-22 20:01:39
20220130,2022-01-30,30,1,January,1,2022,4,1,2026-04-22 20:01:39
20220131,2022-01-31,31,1,January,1,2022,5,0,2026-04-22 20:01:39
20220201,2022-02-01,1,2,February,1,2022,5,0,2026-04-22 20:01:39
20220202,2022-02-02,2,2,February,1,2022,5,0,2026-04-22 20:01:39
