viatico_key,commission_request_id,year_num,employee_key,procedure_key,route_key,source_key,start_date_key,end_date_key,commission_days,total_travel_allowance,commission_purpose_raw,purpose_category,quality_note,created_at
1,2201097,2022,1,1,1,1,20220109,20220110,1.5,1610649.0,Realizar visita a la obra de la nueva sede de la Gerencia departamental de Caldas,VISITA,,2026-04-22 20:01:39
2,2201941,2022,1,1,2,1,20220121,20220121,0.5,443812.0,Visitar inmuebles para la posible adquisicion donde funcionara la sede de la Gerencia Departamental de Antioquia.,VISITA,,2026-04-22 20:01:39
3,2203180,2022,2,1,3,1,20220121,20220122,1.5,1343765.0,"Visita de verificación, recibo físico y de bienes de las adecuaciones del sistema de aire acondicionado en la Gerencia Departamental Colegiada de Norte de Santander",VISITA,,2026-04-22 20:01:39
4,2203264,2022,3,1,3,1,20220121,20220122,1.5,549239.0,"Visita de verificación técnica, recibo físico y de bienes de las adecuaciones del sistema de aire acondicionado en la Gerencia Departamental Colegiada de Norte de Santander",VISITA,,2026-04-22 20:01:39
5,2200958,2022,4,1,4,1,20220122,20220123,1.5,1378698.0,Asistir en representacion del Contralor General a las mesas preparatorias del 22 enero 2022 y a la Audiencia Pública Reforma Laboral Proyecto de Ley 166 de 2020 y Ley 196 de 2020 Cámara y 256 de 2020 Cámara 311 de 2021 Senado,OTROS,,2026-04-22 20:01:39
6,2201851,2022,5,1,5,1,20220127,20220127,1.0,60016.0,"Realizar acompañamiento prestando los servicios como conductor a los funcionarios que atienden la reunión , El transporte terrestre de Bogotá a Tena se realizará en vehículo de la CGR",OTROS,,2026-04-22 20:01:39
7,2203324,2022,6,1,5,1,20220127,20220127,1.0,61771.0,Asistir a la invitación a la celebracion del dia internacional de la educacion ambiental El transporte terrestre se realizará en vehículo de la CGR,OTROS,,2026-04-22 20:01:39
8,2203861,2022,7,1,5,1,20220127,20220127,1.0,63177.0,Asistir a la invitación a la celebracion del dia internacional de la educacion ambiental El transporte terrestre se realizará en vehiculo de la CGR,OTROS,,2026-04-22 20:01:39
9,2200346,2022,8,1,6,1,20220128,20220129,1.5,1383383.0,Asistir a reunión de seguimiento proyecto Canal del Dique a realizarse en la Alcaldía de Cartagena con asistencia de una organización social que promueve el proyecto y adelantar visita técnica corredor vial Cartagena- Barranquilla -peaje Turbaco.,VISITA,,2026-04-22 20:01:39
10,2201482,2022,9,1,7,1,20220128,20220129,1.5,564734.0,"Ejecutar visita técnica a las actividades del mejoramiento ejecutadas mediante el contrato de obra 2160563 del 17 de febrero de 2016, según el Auto de apertura No. 114 del 13 de septiembre de 2021, en el marco de la IP No. 816112-2020-44301.",VISITA,,2026-04-22 20:01:39
11,2200484,2022,10,1,1,1,20220129,20220130,1.5,447145.0,"Realizar apoyo técnico y protocolo de pruebas a los sistemas detección de incendio y otros sistemas implementados a través del convenio interadministrativo 669-2018, en Gerencia Departamental Caldas.",APOYO,,2026-04-22 20:01:39
12,2200552,2022,11,1,1,1,20220129,20220130,1.5,342121.0,"Realizar apoyo técnico y protocolo de pruebas a los sistemas detección de incendio y otros sistemas implementados a través del convenio interadministrativo 669-2018, en Gerencia Departamental Caldas.",APOYO,,2026-04-22 20:01:39
