budget_id,category,appropriate_value,available_value
PPTO0001,Gastos de Viaje y Transporte - Nivel Central,1417417000,332667000
PPTO0002,Gastos de Viaje y Transporte - Gerencias Departamentales,1348018000,340680000
PPTO0003,Comisiones al Interior del País - Funcionarios,1573168000,92681000
PPTO0004,Comisiones al Interior del País - Contratistas,1619121000,221806000
PPTO0005,Viáticos y Gastos de Viaje - Auditorías,1354876000,192483000
PPTO0006,Viáticos Control Fiscal Participativo,1617341000,303635000
PPTO0007,Viáticos Estrategia Compromiso Colombia,1336872000,77155000
PPTO0008,Gastos de Desplazamiento - Visitas Técnicas,1357583000,363630000
PPTO0009,Viáticos Indagaciones Preliminares,1383595000,86571000
PPTO0010,Gastos de Transporte Aéreo,1376009000,187466000
PPTO0011,Gastos de Transporte Terrestre,1361791000,292055000
PPTO0012,Viáticos Interventoría de Contratos,1421936000,73489000
PPTO0013,Comisiones Especiales - Despacho Contralor,1617974000,312904000
PPTO0014,Viáticos Proceso de Responsabilidad Fiscal,1467628000,432380000
PPTO0015,Gastos de Representación y Protocolo,1338462000,317887000
