viatico_id,commission_request_id,total_travel_allowance,purpose,full_date,commission_days,employee_position_norm,position_level,city_origin,city_destination_main,distance_km,destination_count,is_contractor,transport_mode,accommodation_type,prior_authorizations_required,destination_security_level,had_travel_incidents,dept_budget_execution_pct,functional_area,return_trip_included,advance_booking_days,requires_per_diem,daily_allowance_rate,allowance_per_km,travel_month,travel_quarter,travel_year,is_fiscal_year_end,is_weekend_departure,spending_tier,destination_region,position_seniority_index,purpose_expense_profile,is_multi_destination,multi_dest_cost_ratio,log_total_allowance
1,2201097,1610649,Visitas de Supervisión Contractual,2022-01-09,1.5,GERENTE,2.0,BOGOTA D.C.,MANIZALES,289.6263,1,0,Terrestre,Hotel 4-5 estrellas,3,Bajo riesgo,0,0.039,Control Interno,1,4,1,1073766.0,5541.99,1,1,2022,0,1,Alto,Andina,3.0,1107880.82,0,1610649.0,14.292148
19213,2407237,1996416,Visitas de Control Técnico,2022-01-14,2.5,PROFESIONAL,3.0,BOGOTA D.C.,GRANADA,459.2124,1,0,Aéreo,Hotel 3 estrellas,2,Riesgo medio,0,0.0266,Organización Electoral,1,2,1,798566.4,4338.03,1,1,2022,0,0,Alto,Orinoquía,2.0,1183522.0,0,1996416.0,14.506865
4,2203264,549239,Visitas de Supervisión Contractual,2022-01-21,1.5,PROFESIONAL,3.0,BOGOTA D.C.,CUCUTA,628.0683,1,0,Aéreo,Hotel 3 estrellas,2,Riesgo medio,0,0.0607,Control Interno,1,5,1,366159.33,873.1,1,1,2022,0,0,Bajo,Andina,2.0,1107880.82,0,549239.0,13.216291
16667,2404691,1738955,Visitas de Supervisión Contractual,2022-01-21,1.5,CONTRALOR,1.0,BOGOTA D.C.,ARAUCA,886.9965,1,0,Terrestre,Hotel 4-5 estrellas,2,Alto riesgo,0,0.0531,Control Interno,1,4,1,1159303.33,1958.29,1,1,2022,0,0,Alto,Orinoquía,4.0,1107881.0,0,1738955.0,14.368795
2,2201941,443812,Visitas de Supervisión Contractual,2022-01-21,0.5,GERENTE,2.0,BOGOTA D.C.,MEDELLIN,416.6864,1,0,Mixto,Sin alojamiento,1,Bajo riesgo,0,0.1066,Control Interno,0,4,0,887624.0,1062.55,1,1,2022,0,0,Bajo,Andina,3.0,1107880.82,0,443812.0,13.003159
3,2203180,1343765,Visitas de Supervisión Contractual,2022-01-21,1.5,DIRECTOR,2.0,BOGOTA D.C.,CUCUTA,628.0683,1,0,Aéreo,Hotel 3 estrellas,2,Riesgo medio,1,0.0536,Jurídica,1,2,1,895843.33,2136.12,1,1,2022,0,0,Medio-Alto,Andina,3.0,1107880.82,0,1343765.0,14.110987
5,2200958,1378698,Planificación y Control Fiscal,2022-01-22,1.5,CONTRALOR,1.0,BOGOTA D.C.,CALI,460.7687,1,0,Aéreo,Hotel 3 estrellas,1,Bajo riesgo,0,0.0472,Identificación,1,9,1,919132.0,2985.69,1,1,2022,0,1,Medio-Alto,Pacífica,4.0,247788.16,0,1378698.0,14.136651
24637,2412661,1467294,Visitas de Supervisión Contractual,2022-01-26,4.5,CONTRATISTA,3.0,SINCELEJO,TURBANA,31.9412,1,1,Terrestre,Hotel 3 estrellas,2,Riesgo medio,0,0.0314,Organización Electoral,1,4,1,326065.33,44542.82,1,1,2022,0,0,Medio-Alto,Andina,1.0,1107881.0,0,1467294.0,14.198931
6,2201851,60016,Visitas de Control Técnico,2022-01-27,1.0,AUXILIAR,4.0,BOGOTA D.C.,TENA,56.2587,1,0,Terrestre,Hotel 3 estrellas,2,Bajo riesgo,0,0.0282,Organización Electoral,0,3,1,60016.0,1048.16,1,1,2022,0,0,Bajo,Andina,1.0,1183521.55,0,60016.0,11.002383
7,2203324,61771,Visitas de Supervisión Contractual,2022-01-27,1.0,PROFESIONAL,3.0,BOGOTA D.C.,TENA,56.2587,1,0,Terrestre,Hospedaje económico,2,Bajo riesgo,0,0.075,Jurídica,1,6,1,61771.0,1078.81,1,1,2022,0,0,Bajo,Andina,2.0,1107880.82,0,61771.0,11.031205
8,2203861,63177,Visitas de Supervisión Contractual,2022-01-27,1.0,CONTRALOR,1.0,BOGOTA D.C.,TENA,56.2587,1,0,Terrestre,Hotel 4-5 estrellas,1,Bajo riesgo,0,0.0101,Control Interno,1,4,1,63177.0,1103.36,1,1,2022,0,0,Bajo,Andina,4.0,1107880.82,0,63177.0,11.053711
9,2200346,1383383,Visitas de Control Técnico,2022-01-28,1.5,CONTRALOR,1.0,BOGOTA D.C.,CARTAGENA,984.7505,1,0,Aéreo,Hotel 4-5 estrellas,2,Bajo riesgo,0,0.0691,Organización Electoral,1,4,1,922255.33,1403.38,1,1,2022,0,0,Medio-Alto,Caribe,4.0,1183521.55,0,1383383.0,14.140043
10,2201482,564734,Visitas de Supervisión Contractual,2022-01-28,1.5,PROFESIONAL,3.0,BOGOTA D.C.,SANTA BARBARA,435.83,1,0,Aéreo,Hotel 3 estrellas,2,Riesgo medio,0,0.0784,Control Interno,1,5,1,376489.33,1292.8,1,1,2022,0,0,Medio-Bajo,Andina,2.0,1107880.82,0,564734.0,13.244112
16,2202984,464342,Visitas de Control Técnico,2022-01-29,1.5,PROFESIONAL,3.0,BOGOTA D.C.,MANIZALES,289.6263,1,0,Terrestre,Hotel 3 estrellas,1,Bajo riesgo,0,0.01,Organización Electoral,1,3,1,309561.33,1597.73,1,1,2022,0,1,Bajo,Andina,2.0,1183521.55,0,464342.0,13.048379
15,2202488,2273053,Visitas de Supervisión Contractual,2022-01-29,2.5,DIRECTOR,2.0,BOGOTA D.C.,MANIZALES,289.6263,1,0,Terrestre,Hotel 4-5 estrellas,3,Bajo riesgo,1,0.01,Control Interno,1,4,1,909221.2,7821.22,1,1,2022,0,1,Alto,Andina,3.0,1107880.82,0,2273053.0,14.636635
12,2200552,342121,Visitas de Supervisión Contractual,2022-01-29,1.5,AUXILIAR,4.0,BOGOTA D.C.,MANIZALES,289.6263,1,0,Mixto,Hotel 3 estrellas,1,Bajo riesgo,0,0.01,Control Interno,1,4,1,228080.67,1177.19,1,1,2022,0,1,Bajo,Andina,1.0,1107880.82,0,342121.0,12.742923
11,2200484,447145,Visitas de Supervisión Contractual,2022-01-29,1.5,PROFESIONAL,3.0,BOGOTA D.C.,MANIZALES,289.6263,1,0,Terrestre,Hotel 3 estrellas,1,Bajo riesgo,0,0.0615,Control Interno,1,3,1,298096.67,1538.56,1,1,2022,0,1,Bajo,Andina,2.0,1107880.82,0,447145.0,13.01064
14,2201306,777621,Visitas de Supervisión Contractual,2022-01-29,2.5,PROFESIONAL,3.0,BOGOTA D.C.,MANIZALES,289.6263,1,0,Terrestre,Hotel 3 estrellas,1,Bajo riesgo,0,0.0819,Control Interno,1,3,1,311048.4,2675.67,1,1,2022,0,1,Medio-Bajo,Andina,2.0,1107880.82,0,777621.0,13.563996
13,2200994,902524,Visitas de Supervisión Contractual,2022-01-29,2.5,PROFESIONAL,3.0,BOGOTA D.C.,MANIZALES,289.6263,1,0,Aéreo,Hotel 3 estrellas,1,Bajo riesgo,0,0.0579,Registro Civil,1,3,1,361009.6,3105.45,1,1,2022,0,1,Medio-Bajo,Andina,2.0,1107880.82,0,902524.0,13.712952
